h,x,r,alpha,RMSE relative u,RMSE relative Iu
0.04,0.6,37.0,0.6,0.6554809951198233,1.3520984095119752
0.04,0.6,37.0,0.7,0.5696496547766674,1.5307494511228488
0.04,0.6,37.0,0.8,0.49212503816990827,1.6640365232383907
0.04,0.6,37.0,0.9,0.4493350323825636,1.7788210052167628
0.04,0.6,37.0,1.0,0.43732924742745044,1.8733198361236196
0.04,0.6,42.0,0.3,0.6018054673517625,0.5922604476167985
0.04,0.6,42.0,0.4,0.7114793050195746,0.8484572132565918
0.04,0.6,42.0,0.5,0.7256599188470857,1.093894751449487
0.04,0.6,42.0,0.6,0.6808006511139817,1.3105937070323348
0.04,0.6,42.0,0.7,0.60518831530803,1.5045206480016884
0.04,0.6,42.0,0.8,0.5264043783086624,1.637912214814972
0.04,0.6,42.0,0.9,0.4694473749141219,1.7637749523257786
0.04,0.6,42.0,1.0,0.4442902831317046,1.855626458625603
0.04,0.6,47.0,0.3,0.5964972845816939,0.5721193008567059
0.04,0.6,47.0,0.4,0.7139417459813344,0.8296995187484376
0.04,0.6,47.0,0.5,0.7398699536880006,1.061313651932255
0.04,0.6,47.0,0.6,0.7086091961960238,1.2806819496935937
0.04,0.6,47.0,0.7,0.6440320907756378,1.4705954862227826
0.04,0.6,47.0,0.8,0.5672023839257524,1.6131743286266755
0.04,0.6,47.0,0.9,0.4990985119653618,1.733397717944963
0.04,0.6,47.0,1.0,0.4574670737614508,1.830285614718357
0.04,0.6,52.0,0.3,0.5922753273885556,0.5433760409357642
0.04,0.6,52.0,0.4,0.716446036135834,0.7889378720285641
0.04,0.6,52.0,0.5,0.7528716056935828,1.0216706575063812
0.04,0.6,52.0,0.6,0.7341059232265723,1.2368994985957453
0.04,0.6,52.0,0.7,0.680599309525554,1.4390442230127516
0.04,0.6,52.0,0.8,0.6082944769838045,1.5802354239804404
0.04,0.6,52.0,0.9,0.5333674514373922,1.7103280813841375
0.04,0.6,52.0,1.0,0.4755061802735646,1.8058613962147665
0.04,0.6,57.0,0.3,0.5850863997621766,0.5110548436748725
0.04,0.6,57.0,0.4,0.7151646541536257,0.7597500616299185
0.04,0.6,57.0,0.5,0.7609004544273243,0.9809958322822918
0.04,0.6,57.0,0.6,0.7534696156533494,1.1965269433595849
0.04,0.6,57.0,0.7,0.7108358821705832,1.393722592506063
0.04,0.6,57.0,0.8,0.6451836832219342,1.5434847635391242
0.04,0.6,57.0,0.9,0.5682348750896743,1.6661380152633654
0.04,0.6,57.0,1.0,0.49751045409198513,1.7647021643657115
