h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu
0.08,3.6,52.0,0.7,0.0737857085158032,0.05446765011259485,0.496247831522822,0.056033407973001916
0.08,3.6,52.0,0.8,0.08001451724622446,0.059267002752223116,0.7297673354171238,0.07638922704405486
0.08,3.6,52.0,0.9,0.1172269067684446,0.08237677957790308,0.9477687432891231,0.09882811820284797
0.08,3.6,62.0,0.6,0.1612655263735394,0.12149146426585244,0.7307714727731486,0.09145224221888514
0.08,3.6,62.0,0.7,0.20880135842937733,0.15196559155956046,0.5445097516428955,0.07206900062588285
0.08,3.6,62.0,0.8,0.236760442486617,0.16839912813714128,0.5302684708374076,0.06562219086408094
0.08,3.6,62.0,0.9,0.25845289343174016,0.18102198917241902,0.6701043406703352,0.07393500627298062
0.08,3.6,72.0,0.6,0.24859985594749498,0.18501610587812742,1.0988459854198567,0.13503597626463484
0.08,3.6,72.0,0.7,0.3309914470763956,0.24024157136271046,0.8633943507866321,0.1127669208152506
0.08,3.6,72.0,0.8,0.3941330256419606,0.2818186394137642,0.6936560102988809,0.09516638214512779
0.08,3.6,72.0,0.9,0.4336506128812003,0.3065738605888116,0.6382960195399161,0.08576814110679627
0.08,3.6,82.0,0.6,0.24984824030645145,0.18537027441476214,1.1353708962601066,0.14098542986254714
0.08,3.6,82.0,0.7,0.3252987356560887,0.23544875879886581,0.9030212013353298,0.11878528682316422
0.08,3.6,82.0,0.8,0.3780792798469951,0.2693817546320561,0.7214490873869781,0.10016493084354067
0.08,3.6,82.0,0.9,0.40898086261780126,0.2879112697301272,0.6188244754929577,0.08716237781940822
0.08,3.6,92.0,0.6,0.22656933322701472,0.16988155799546573,1.2131743193728357,0.14736592989911698
0.08,3.6,92.0,0.7,0.304342523549833,0.2217142799808221,0.9825178759504768,0.1256145369091126
0.08,3.6,92.0,0.8,0.36355611229862855,0.26037233832191886,0.7887096334056597,0.10650324052269525
0.08,3.6,92.0,0.9,0.3993574432006937,0.282410824779534,0.6560919426321987,0.09189796271058323
0.08,4.0,52.0,0.6,0.07962996028604857,0.052266143404373265,0.3544279517125126,0.0483319996240113
0.08,4.0,52.0,0.7,0.06762218848085519,0.04687313607090055,0.47343668113521675,0.05465280746242732
0.08,4.0,52.0,0.8,0.06535062571079639,0.04738914674315394,0.7146765149246023,0.0762625497968939
0.08,4.0,52.0,0.9,0.09359525831244589,0.06675712868227142,0.9329166911225356,0.09892663778599614
0.08,4.0,62.0,0.6,0.1194943044951321,0.09156939827113712,0.662878019653681,0.08140597833054093
0.08,4.0,62.0,0.7,0.16451575840494062,0.12154599992060491,0.4793874497703745,0.06258778970635442
0.08,4.0,62.0,0.8,0.20008690973796905,0.14396638091867348,0.4713082438516164,0.05718013409801369
0.08,4.0,62.0,0.9,0.22999245826310247,0.16273343459806444,0.622297142787461,0.0673695866870334
0.08,4.0,72.0,0.6,0.19806566841542747,0.14987943720777958,1.0378740960502544,0.12482957810603462
