h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu
0.08,2.4,62.0,0.6,0.5803680718159389,0.4749316772828057,0.9342826574057739,0.23223127399712065
0.08,2.4,72.0,0.1,0.21197769733154742,0.16761713100081846,0.3399151269434316,0.08522313177923299
0.08,2.4,72.0,0.2,0.08733848673712852,0.0770916108005376,0.35715817418038176,0.08961618347978158
0.08,2.4,72.0,0.3,0.27902661928178146,0.23370148285577427,0.3968241753006912,0.09932413819741548
0.08,2.4,72.0,0.4,0.4541143857647738,0.37636327061782626,0.4869080915647395,0.12140401500570729
0.08,2.4,72.0,0.5,0.5816396862358895,0.4793635195179705,0.6104440995756887,0.15186678124645356
0.08,2.4,72.0,0.6,0.6631845828853182,0.5439182265823824,0.7597864216866825,0.18877661680055008
0.08,2.4,82.0,0.1,0.2138374316421143,0.1689943594332652,0.31793026589525386,0.07975450752352226
0.08,2.4,82.0,0.2,0.09377173287313031,0.08263144326961093,0.33455315478447756,0.08395330449933655
0.08,2.4,82.0,0.3,0.2922403187169832,0.24461791466125057,0.3831928306854081,0.09584650330849755
0.08,2.4,82.0,0.4,0.46331146789562,0.38366434818429046,0.48311947159076246,0.12038528645213074
0.08,2.4,82.0,0.5,0.581513310758574,0.47862292119350086,0.6111504056876186,0.15199660470699872
0.08,2.4,82.0,0.6,0.6535969698881532,0.5351254362336632,0.7567005778728972,0.18798428916923227
0.08,2.4,92.0,0.1,0.22440486651536434,0.17751207616990505,0.28303720368759805,0.07101868967604223
0.08,2.4,92.0,0.2,0.07924544650698842,0.07012711389713835,0.30960889140106,0.07767663878041416
0.08,2.4,92.0,0.3,0.26014764801356777,0.2183776979900465,0.3603247203179293,0.09011645057066292
0.08,2.4,92.0,0.4,0.4312963838586356,0.357714582963409,0.4539654954698181,0.11314818266820964
0.08,2.4,92.0,0.5,0.5566970649460926,0.4589462545224032,0.5715370090554066,0.14219801522883585
0.08,2.4,92.0,0.6,0.6372822194008284,0.5227345160282981,0.7102634234650734,0.1764926321463512
0.08,3.0,52.0,0.1,0.2616568891625646,0.20808470432675993,0.8148439150294914,0.20378965807001173
0.08,3.0,52.0,0.2,0.0930853566837951,0.07491739685157008,0.8443912748684137,0.21130165208720997
0.08,3.0,52.0,0.3,0.1450733604930556,0.1251737489980842,0.8825201474417582,0.22069134776556407
0.08,3.0,52.0,0.4,0.2926952681401177,0.24528564570742684,0.9660238663805916,0.2411273540051023
0.08,3.0,52.0,0.5,0.38380053558063165,0.31748147109486513,1.080343345639984,0.26928921476837436
0.08,3.0,52.0,0.6,0.40658837233021045,0.3322831228683967,1.223555701364367,0.30461232824186024
0.08,3.0,62.0,0.1,0.24695700315818295,0.19646712245275916,0.6524655382567489,0.16323644771697615
0.08,3.0,62.0,0.2,0.0855201290383231,0.069424513126084,0.6808681441730285,0.1704541664013725
0.08,3.0,62.0,0.3,0.15720556255210286,0.1350683499040922,0.7141610219492659,0.17864746945891058
0.08,3.0,62.0,0.4,0.32016739736186195,0.2682046798018361,0.7826469827809112,0.1954216781390299
0.08,3.0,62.0,0.5,0.4363476461149792,0.3616141833804107,0.8809322916518701,0.21964255748544603
0.08,3.0,62.0,0.6,0.5074297199486368,0.41722586457530125,1.0058733908246953,0.25045600222137937
