x	y	z	y-velocity	z-velocity	uw-reynolds-stress	vw-reynolds-stress	x-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress
-2.85	0.17787333333333333	0.0	0.0	0.0	0.0	0.0	7.171473076369599	2.2089139497596633	0.7829060451279757	1.0888708529764852
-2.85	0.17886666666666665	0.0	0.0	0.0	0.0	0.0	7.188589836046165	2.206106235505533	0.7812731391550851	1.0869085761965784
-2.85	0.17985999999999996	0.0	0.0	0.0	0.0	0.0	7.20562235530614	2.203305766425011	0.779642052210613	1.0849709313126665
-2.85	0.1808533333333333	0.0	0.0	0.0	0.0	0.0	7.222571246485801	2.200512814586472	0.7780133230570122	1.0830580306582418
-2.85	0.18184666666666666	0.0	0.0	0.0	0.0	0.0	7.239437131533676	2.1977276387160942	0.7763874828736936	1.081169975760687
-2.85	0.18284	0.0	0.0	0.0	0.0	0.0	7.256220635511923	2.194950484441169	0.7747650551504739	1.0793068574694027
-2.85	0.18383333333333332	0.0	0.0	0.0	0.0	0.0	7.2729223792892235	2.1921815845150245	0.7731465555839563	1.0774687560806837
-2.85	0.18482666666666664	0.0	0.0	0.0	0.0	0.0	7.28954300241406	2.1894211590473818	0.7715324919781609	1.075655741475518
-2.85	0.18581999999999999	0.0	0.0	0.0	0.0	0.0	7.306083143157647	2.1866694157424535	0.7699233641462999	1.0738678732542064
-2.85	0.1868133333333333	0.0	0.0	0.0	0.0	0.0	7.322543408013171	2.1839265501019876	0.7683196638178944	1.0721052008615841
-2.85	0.18780666666666662	0.0	0.0	0.0	0.0	0.0	7.338924451818848	2.181192745682565	0.7667218745485219	1.0703677637311746
-2.85	0.18879999999999997	0.0	0.0	0.0	0.0	0.0	7.35522689907	2.1784681743205256	0.7651304716308575	1.068655591411767
-2.85	0.1897933333333333	0.0	0.0	0.0	0.0	0.0	7.371451403094143	2.175752996352128	0.7635459220124922	1.066968703720638
-2.85	0.19078666666666663	0.0	0.0	0.0	0.0	0.0	7.3875985929159755	2.173047360851798	0.7619686842148116	1.0653071108622163
-2.85	0.19177999999999998	0.0	0.0	0.0	0.0	0.0	7.403669117698974	2.1703514058639723	0.7603992082532981	1.0636708135825896
-2.85	0.1927733333333333	0.0	0.0	0.0	0.0	0.0	7.419663606359969	2.1676652586307026	0.7588379355661479	1.0620598033107091
-2.85	0.19376666666666664	0.0	0.0	0.0	0.0	0.0	7.435582727692148	2.164989035810255	0.7572852989419767	1.0604740622856237
-2.85	0.19476	0.0	0.0	0.0	0.0	0.0	7.4514270889379945	2.1623228437289015	0.7557417224528299	1.0589135637146723
-2.85	0.19575333333333333	0.0	0.0	0.0	0.0	0.0	7.467197365429806	2.159666778588947	0.7542076213885904	1.057378271908356
-2.85	0.19674666666666663	0.0	0.0	0.0	0.0	0.0	7.482894184950299	2.1570209267013234	0.752683402197095	1.0558681424231493
-2.85	0.19773999999999997	0.0	0.0	0.0	0.0	0.0	7.498518201598318	2.1543853647241313	0.7511694624272465	1.054383122214151
-2.85	0.19873333333333326	0.0	0.0	0.0	0.0	0.0	7.514070060303827	2.1517601598691067	0.7496661906719998	1.052923149770966
-2.85	0.1997266666666666	0.0	0.0	0.0	0.0	0.0	7.529550397958893	2.1491453701404626	0.7481739665207827	1.0514881552649553
-2.85	0.20071999999999995	0.0	0.0	0.0	0.0	0.0	7.544959869442551	2.146541044554307	0.7466931605094894	1.0500780607020552
-2.85	0.20171333333333327	0.0	0.0	0.0	0.0	0.0	7.560299124121203	2.1439472233607364	0.7452241340770488	1.0486927800630041
-2.85	0.20270666666666662	0.0	0.0	0.0	0.0	0.0	7.575568793734119	2.141363938272781	0.7437672395239793	1.047332219451115
-2.85	0.20369999999999996	0.0	0.0	0.0	0.0	0.0	7.590769532801129	2.1387912126594717	0.7423228199753893	1.0459962772403715
-2.85	0.2046933333333333	0.0	0.0	0.0	0.0	0.0	7.60590198484404	2.1362290618135624	0.7408912093475936	1.0446848442249215
-2.85	0.20568666666666663	0.0	0.0	0.0	0.0	0.0	7.620966783457116	2.1336774931232356	0.7394727323141133	1.0433978037646698
-2.85	0.20667999999999997	0.0	0.0	0.0	0.0	0.0	7.635964576936297	2.131136506305289	0.7380677042811091	1.0421350319292801
-2.85	0.20767333333333332	0.0	0.0	0.0	0.0	0.0	7.650896006583999	2.128606093618748	0.736676431362257	1.0408963976586831
-2.85	0.2086666666666666	0.0	0.0	0.0	0.0	0.0	7.6657617172701	2.1260862400751233	0.7352992103560004	1.0396817628964774
-2.85	0.20965999999999996	0.0	0.0	0.0	0.0	0.0	7.680562333781234	2.123576923666688	0.7339363287309204	1.0384909827473214
-2.85	0.2106533333333333	0.0	0.0	0.0	0.0	0.0	7.695298497921577	2.121078115538482	0.7325880646083627	1.0373239056213615
-2.85	0.2116466666666666	0.0	0.0	0.0	0.0	0.0	7.709970853750886	2.1185897802279716	0.7312546867530302	1.036180373387028
-2.85	0.21263999999999994	0.0	0.0	0.0	0.0	0.0	7.724580031335855	2.1161118758503035	0.729936454564336	1.0350602215138687
