h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative uu,RMSE uu
0.08,0.3,82.0,0.5,4.29362262653364,3.3553644595974843,1.5980513237631215,0.021538928310421045
0.08,0.3,82.0,0.6,4.346055831399351,3.3837886883916712,1.6576615660135603,0.022342369799005772
0.08,0.3,82.0,0.7,4.37906754376324,3.3771753888610117,2.380801203799604,0.03208902347970208
0.08,0.3,92.0,0.1,2.4933414435700776,2.1542420170009393,3.065373874145267,0.041315862099081974
0.08,0.3,92.0,0.2,3.744216127386795,3.085966480350656,2.3380935037681603,0.03151339860733309
0.08,0.3,92.0,0.3,3.970636427808906,3.182898059841437,1.9304812507512095,0.0260195005293245
0.08,0.3,92.0,0.4,4.130894293000598,3.257353577877415,1.6967484409106466,0.022869192300741345
0.08,0.3,92.0,0.5,4.231297737621168,3.303802292607792,1.5369978005065847,0.020716033925887438
0.08,0.3,92.0,0.6,4.291647162982455,3.3403785347678165,1.4857908439145306,0.020025853985712636
0.08,0.3,92.0,0.7,4.340188572140556,3.348609680530961,2.051700840352952,0.027653327936132868
0.08,0.6,52.0,0.1,1.1965573725421752,1.0559525886045311,2.2568048073144302,0.030417769587583292
0.08,0.6,52.0,0.2,2.7696222110469337,2.333233622538929,3.469880959034762,0.04676790795826973
0.08,0.6,52.0,0.3,3.3758233889924276,2.7707825634617835,3.4032900578781407,0.04587037943411615
0.08,0.6,52.0,0.4,3.615057825430039,2.9087005834108317,2.9898077866500046,0.04029736380865991
0.08,0.6,52.0,0.5,3.6668105821644934,2.90207683563689,3.0184980898415565,0.040684058762982096
0.08,0.6,52.0,0.6,3.536380795930536,2.7545286141176666,3.777570292554926,0.05091502038077062
0.08,0.6,52.0,0.7,3.2029241505806127,2.4254786933149393,5.06811366413543,0.0683092809709154
0.08,0.6,62.0,0.1,1.1867483953211055,1.0475880408190823,2.7893329621956435,0.03759531487709081
0.08,0.6,62.0,0.2,2.753484916019735,2.3199118990452923,2.8917982770928683,0.03897636756235687
0.08,0.6,62.0,0.3,3.3662666303655175,2.763703603552968,2.841990957590363,0.03830505227470236
0.08,0.6,62.0,0.4,3.6514553419825515,2.942707530043359,2.5251505164285186,0.03403459897539474
0.08,0.6,62.0,0.5,3.8219600095450823,3.0418118339775972,2.3111488945507466,0.031150232545232193
0.08,0.6,62.0,0.6,3.9028584418609777,3.082227837317272,2.619559555825745,0.035307067200410276
0.08,0.6,62.0,0.7,3.865818482284612,3.010287637978871,3.725943021895727,0.05021917534434674
0.08,0.6,72.0,0.1,1.2228578062338584,1.077790741772289,4.040248790966543,0.05445546571055749
0.08,0.6,72.0,0.2,2.8023086351218343,2.3595973741529943,2.928565323554196,0.03947192284655865
0.08,0.6,72.0,0.3,3.448261021855173,2.8319151728584955,2.434262943369763,0.03280959393875371
0.08,0.6,72.0,0.4,3.78264304512605,3.053403907648239,2.1343165958664367,0.028766843383888286
0.08,0.6,72.0,0.5,4.021662524473,3.2123988840105873,1.9287185870481316,0.025995742914927875
0.08,0.6,72.0,0.6,4.176398432991264,3.3179292697564176,1.972778340660772,0.02658959109760248
0.08,0.6,72.0,0.7,4.26162576658997,3.3534147238287106,2.7367185381437245,0.03688616474474102
0.08,0.6,82.0,0.1,1.2035452097310688,1.0612458535202667,3.970589528846378,0.05351658106358012
0.08,0.6,82.0,0.2,2.7891735445021575,2.3497139769628608,2.8701789052506856,0.03868497635776867
0.08,0.6,82.0,0.3,3.4602392223463303,2.8442163446227795,2.3640250394665165,0.031862910215677914
0.08,0.6,82.0,0.4,3.7854509262446445,3.056733041487788,2.079491847020364,0.028027901950986322
0.08,0.6,82.0,0.5,3.9744238571102044,3.1702083886192898,1.8958482415241469,0.025552708323202323
0.08,0.6,82.0,0.6,4.093274356541096,3.243521183747762,1.9021529479884438,0.02563768470570859
0.08,0.6,82.0,0.7,4.164742874845458,3.2676622593087954,2.4706760337445823,0.03330037851587057
0.08,0.6,92.0,0.1,1.2134086573132474,1.0694855998238761,3.640296005360452,0.04906480381589626
0.08,0.6,92.0,0.2,2.7572507125410852,2.3208035810138936,2.7234553283481153,0.03670739994494661
0.08,0.6,92.0,0.3,3.3613867702719173,2.757738826322995,2.3392006555171823,0.03152832107058339
0.08,0.6,92.0,0.4,3.688940640066539,2.9751737162005765,2.0581413402449873,0.027740134575816484
0.08,0.6,92.0,0.5,3.902345989916779,3.1124734656610977,1.847903617163803,0.0249064988982536
0.08,0.6,92.0,0.6,4.0335174734457455,3.197580921563561,1.7476192396095163,0.023554841422253062
0.08,0.6,92.0,0.7,4.1217785918431,3.2374249116699056,2.155524755870486,0.029052692174306026
0.08,1.2,52.0,0.1,0.39583422621671577,0.3404652629037917,2.5487578793028476,0.034352784811473455
0.08,1.2,52.0,0.2,1.527977369492879,1.3296542924389114,2.541927233002523,0.03426071968265764
0.08,1.2,52.0,0.3,2.378993166559327,2.0094767443632664,2.557951804118445,0.03447670278866847
0.08,1.2,52.0,0.4,2.837933468656937,2.349501282870815,2.275518915333496,0.030670002932671955
0.08,1.2,52.0,0.5,3.010034012533397,2.448836240000774,2.5610968116285204,0.034519091972475
0.08,1.2,52.0,0.6,2.960692173636211,2.3671932106760156,3.5199311792139296,0.047442497120913966
0.08,1.2,52.0,0.7,2.685036791801326,2.0952366774049866,4.963625997368631,0.06690097053035107
0.08,1.2,62.0,0.1,0.388668388249835,0.33356606562028357,3.2741348034989346,0.04412959318800414
0.08,1.2,62.0,0.2,1.5389353806011854,1.3396131075712838,2.6691862163519056,0.03597594752200187
0.08,1.2,62.0,0.3,2.3873433001345097,2.01655966623934,2.596631642519933,0.03499803915252597
0.08,1.2,62.0,0.4,2.895117227505137,2.399297490985295,2.3491184879412126,0.03166199605235614
0.08,1.2,62.0,0.5,3.197492495126176,2.612416756023935,2.161595259181767,0.02913451190918285
0.08,1.2,62.0,0.6,3.3730192648604125,2.7268730315506264,2.442402169688146,0.03291929643051168
0.08,1.2,62.0,0.7,3.390364445756046,2.7037700061760455,3.61248982695831,0.048690025312675106
0.08,1.2,72.0,0.1,0.39856810699271716,0.3473602348956192,4.481824049316047,0.0604071255176085
0.08,1.2,72.0,0.2,1.5884513272472238,1.3799194959752081,3.2575283286411523,0.043905767040413136
0.08,1.2,72.0,0.3,2.487555638027544,2.099794211075277,2.7047758003018174,0.036455632677225645
0.08,1.2,72.0,0.4,3.064910415372544,2.541646705604641,2.392747845310682,0.03225004324873645
0.08,1.2,72.0,0.5,3.4300935558016636,2.807562662739159,2.153726915509099,0.029028460440267405
0.08,1.2,72.0,0.6,3.682637356232331,2.988179134746185,2.101164653971263,0.02832001336709639
0.08,1.2,72.0,0.7,3.8255451887747096,3.0727691311660363,2.7858024660130276,0.03754772998225869
0.08,1.2,82.0,0.1,0.3980986742563923,0.34694398973912927,4.398867028736712,0.05928901041546221
0.08,1.2,82.0,0.2,1.60156633970343,1.3915072016282004,3.1979499929701976,0.04310275559654472
0.08,1.2,82.0,0.3,2.531153770145533,2.1373159470050656,2.650061292212525,0.03571817709632471
0.08,1.2,82.0,0.4,3.0807764986595365,2.5534501192854377,2.3286143843906375,0.03138563670777308
0.08,1.2,82.0,0.5,3.404731373909748,2.7826147477033936,2.104333364990348,0.02836272203262022
0.08,1.2,82.0,0.6,3.622120246205621,2.9324915958233895,2.02170572853949,0.027249046450672283
0.08,1.2,82.0,0.7,3.7456789647568063,3.000907912626444,2.5096066466141362,0.03382509487961256
0.08,1.2,92.0,0.1,0.392908741816942,0.3414447053036381,3.9981667867769257,0.05388827412044973
0.08,1.2,92.0,0.2,1.5308486181987346,1.3303830910710404,2.92461559675236,0.03941868745845473
0.08,1.2,92.0,0.3,2.3958271217958687,2.0229007113053457,2.524509463110306,0.03402595870129414
0.08,1.2,92.0,0.4,2.967898678540537,2.462294526821715,2.2780735388996955,0.030704434776652346
0.08,1.2,92.0,0.5,3.312759238278305,2.711630227542898,2.050292366072715,0.027634344173785578
0.08,1.2,92.0,0.6,3.5535290592997395,2.8826059918694447,1.8856466585210285,0.02541520888141997
0.08,1.2,92.0,0.7,3.694078439713026,2.9664443543222747,2.1934525889297025,0.02956389282542677
0.08,1.8,52.0,0.1,0.4682451080005784,0.35895558833527075,3.3934849177235327,0.04573822334643404
