h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu,RMSE relative Iv,RMSE Iv,RMSE relative Iw,RMSE Iw
0.04,0.6,92.0,0.3,0.2046096274628908,0.16358460296030075,0.36343592938998076,0.08802549926350117,0.22547387603799982,0.02806680439633075,0.4215217780467614,0.07813765457552295
0.04,0.6,92.0,0.4,0.24012582508750413,0.187251516306998,0.5831023781651234,0.1333189904988294,0.37187417355236735,0.04476640641951347,0.6286945612509872,0.1143789505138624
0.04,0.6,92.0,0.5,0.25864529977231054,0.19924074357369542,0.7824462820987709,0.17562683633599543,0.559300038847766,0.0686178431484559,0.8157383662441808,0.1467578692764775
0.04,0.9,52.0,0.3,0.11520504296357945,0.0979828064180473,0.520232184820822,0.1275650786536513,0.3147098711170598,0.04132896980083805,0.5863523615326423,0.11080733927292616
0.04,0.9,52.0,0.4,0.14687584311817023,0.11930403037437283,0.728721173443543,0.16711713945757073,0.49659249445148473,0.06223640198552595,0.7921515612007167,0.14431189209826165
0.04,0.9,52.0,0.5,0.14997691279115005,0.11827198788210196,0.9446054630213816,0.21009668583765986,0.70258813085634,0.08727781539030577,0.9934475616505611,0.17723378803097048
0.04,0.9,72.0,0.3,0.1497793544338615,0.12459622328301037,0.43286590309760775,0.10842211701966652,0.2612913946494086,0.03433675330512677,0.5305050355978127,0.1012931078515959
0.04,0.9,72.0,0.4,0.19882184135950273,0.15893490588028641,0.6284524646778569,0.14594550908922913,0.4314501116228998,0.0537323648966875,0.721261963728388,0.13268409461073497
0.04,0.9,72.0,0.5,0.2236444433048691,0.17507194475098026,0.8331288554042047,0.18686887825242707,0.631087109615741,0.07808867844912548,0.9100571475371879,0.1637204454505906
0.04,0.9,92.0,0.3,0.14975304101957418,0.1247524429453742,0.4333370157950384,0.10952633626277941,0.23464712609381883,0.031190500158346273,0.47880783422282847,0.092783312540947
0.04,0.9,92.0,0.4,0.20202333613464338,0.16166030511483542,0.613777307441109,0.1441914667143623,0.37937331115495776,0.047576305953301805,0.6548418822049278,0.12204267908103598
0.04,0.9,92.0,0.5,0.2333067945320006,0.18295950507603276,0.7959260862335393,0.18117340241223998,0.5596685524182121,0.06976439514554343,0.826210878900839,0.15056725244471905
0.04,1.2,52.0,0.3,0.09113667651016155,0.07823132588563823,0.5883931669963461,0.14833623742023658,0.37809656973827616,0.05389980757668494,0.6317216694229056,0.12206671839842653
0.04,1.2,52.0,0.4,0.11963610509972342,0.10021032389723478,0.7641836266794293,0.17972274789203752,0.5095594629046265,0.06585128126108439,0.8147803928030062,0.1508356103767953
0.04,1.2,52.0,0.5,0.13041723091512417,0.10549315131764454,0.9575256587074289,0.21638961594836073,0.6929581141557449,0.08675292547229976,1.0010552582662755,0.18045856877801486
0.04,1.2,72.0,0.3,0.116272017277142,0.09971578950858795,0.49419826413865175,0.12713848527854874,0.3193759890182956,0.04629493697696595,0.5737899669713885,0.11198867423737849
0.04,1.2,72.0,0.4,0.1705199891773487,0.13947346770970764,0.6581713113030034,0.15669432892819407,0.43684645357894725,0.05632216518701835,0.7424529554610497,0.13891021551231503
