x,z,y,u,w,v,uu,ww,vv,vw,uv,uw
-18.000000,0.000000,6.700000,16.612305,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,6.800000,16.640237,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,6.900000,16.667761,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.000000,16.694888,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.100000,16.721631,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.200000,16.748000,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.300000,16.774006,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.400000,16.799657,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.500000,16.824964,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.600000,16.849937,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.700000,16.874582,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.800000,16.898910,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,7.900000,16.922928,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.000000,16.946644,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.100000,16.970065,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.200000,16.993199,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.300000,17.016052,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.400000,17.038632,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.500000,17.060945,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.600000,17.082996,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.700000,17.104793,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.800000,17.126341,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,8.900000,17.147645,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,9.000000,17.168711,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,9.100000,17.189545,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,9.200000,17.210150,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,9.300000,17.230533,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,9.400000,17.250698,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,9.500000,17.270650,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
