h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu
0.08,3.6,62.0,0.3,0.8572513750749894,0.45480307796757025,1.4394316487600598,0.1718380511265375
0.08,3.6,62.0,0.4,0.5694804124024736,0.29209168035104194,1.2631946537985885,0.157627062894935
0.08,3.6,62.0,0.5,0.5122774156423356,0.24127867514306708,1.0600992300137333,0.14640746329682056
0.08,3.6,62.0,0.6,0.38070782980371787,0.19491201822212784,0.8316023450969519,0.12950341561878206
0.08,3.6,62.0,0.7,0.3228198932873411,0.18556510757073294,0.6790707750821373,0.11819281520411834
0.08,3.6,72.0,0.3,0.7815902074091307,0.4113327949145058,1.7141992269707742,0.19769199210238314
0.08,3.6,72.0,0.4,0.4912541228057673,0.25023043561704156,1.5703726363414536,0.18580482474986423
0.08,3.6,72.0,0.5,0.42956143705069655,0.2125072165918543,1.3784740324011735,0.17220147707824185
0.08,3.6,72.0,0.6,0.34579454492783307,0.21213068385094183,1.140047241563174,0.15249614813049356
0.08,3.6,72.0,0.7,0.37179297610200085,0.25364089808814416,0.9179015584835856,0.13414017500045622
0.08,3.6,82.0,0.3,0.7731634886607776,0.40597912953872617,1.7757306658249534,0.2049951271242252
0.08,3.6,82.0,0.4,0.4828794613774059,0.24572598291088493,1.610713245808318,0.19087389498286256
0.08,3.6,82.0,0.5,0.4262712057041489,0.21163233814904825,1.4066870106611833,0.17523462828645658
0.08,3.6,82.0,0.6,0.34584208649150805,0.21218227874214665,1.1674526879572662,0.15472369601911123
0.08,3.6,82.0,0.7,0.3674144837123425,0.2492237635049127,0.9449672197162209,0.13552720498567575
0.08,3.6,92.0,0.3,0.8278665751353603,0.4373448605074154,1.771586308986892,0.20334886251135018
0.08,3.6,92.0,0.4,0.5333217043288536,0.2722664413361046,1.6488069285915434,0.19274762157769984
0.08,3.6,92.0,0.5,0.4645455060768595,0.22453040387724854,1.4687999920526662,0.17907828946281587
0.08,3.6,92.0,0.6,0.3562246359789901,0.20746319539301655,1.2411097825902193,0.15964352097880444
0.08,3.6,92.0,0.7,0.35505750910083744,0.23666525284288226,1.0189416942295983,0.1406325551008129
0.08,4.0,52.0,0.3,0.9929638903874057,0.5311545146500201,1.091408900853422,0.15390420447934627
0.08,4.0,52.0,0.4,0.7126737034186229,0.3706393436482994,0.9270816044052234,0.14450905412150208
0.08,4.0,52.0,0.5,0.6829215347086369,0.3206437016045628,0.7896017562887679,0.14767680493331767
0.08,4.0,52.0,0.6,0.5618243054759591,0.2601018453538948,0.6888363095928542,0.1432273509514172
0.08,4.0,52.0,0.7,0.4936950314106097,0.22760701011724596,0.7650049777670441,0.14759031308615528
0.08,4.0,62.0,0.3,0.9475381827925,0.5054250669172485,1.3327760964495705,0.16395741007348918
0.08,4.0,62.0,0.4,0.6571331702375179,0.33967322372586534,1.181374947497319,0.15289913936264693
0.08,4.0,62.0,0.5,0.5988455408047372,0.2798776503397255,1.0109115983143575,0.14702760110856528
0.08,4.0,62.0,0.6,0.445434027406682,0.21309341345874214,0.8073687392560327,0.13358260964425725
0.08,4.0,62.0,0.7,0.3580254367206601,0.1848647723913535,0.6718642668840147,0.1249166736889152
0.08,4.0,72.0,0.3,0.8710278459855726,0.4614775442663675,1.5983849639363863,0.18634597007402878
0.08,4.0,72.0,0.4,0.5731766637256273,0.293401078888836,1.479569619538437,0.1770210619025434
0.08,4.0,72.0,0.5,0.5055342364934141,0.2391923710605399,1.3182663469530027,0.16773443977531818
0.08,4.0,72.0,0.6,0.3723375493080198,0.20345948050625204,1.09957893860508,0.15056695034136386
0.08,4.0,72.0,0.7,0.34986134244347433,0.2276475063704557,0.8889961124949042,0.13422040579456207
0.08,4.0,82.0,0.3,0.8641697312485526,0.45737437782822954,1.6584929476080286,0.19263906560372956
0.08,4.0,82.0,0.4,0.5637881697390937,0.2882308699648221,1.519891094468987,0.18103956911183108
0.08,4.0,82.0,0.5,0.49686000448735246,0.23586163487017042,1.345239505540055,0.16932385658756385
0.08,4.0,82.0,0.6,0.3693748125937427,0.2027706391542708,1.1234059812786177,0.1510146749230157
0.08,4.0,82.0,0.7,0.34542451941594365,0.22302350625612152,0.9107833640375365,0.1335514935004128
0.08,4.0,92.0,0.3,0.9123082863398615,0.4848699489238905,1.658143088770203,0.19134601704848508
0.08,4.0,92.0,0.4,0.6136486588154927,0.3153745776930945,1.5615153807960256,0.18372763783890578
0.08,4.0,92.0,0.5,0.5412142947501742,0.2543872022876549,1.4105267927794662,0.17448580017996923
0.08,4.0,92.0,0.6,0.3933005319274085,0.20577321651207403,1.2036701607557776,0.15781171219934212
