h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative uu,RMSE uu,RMSE relative vv,RMSE vv,RMSE relative ww,RMSE ww
0.08,0.3,62.0,0.6,4.185008538154323,3.2441412490429795,5.914479871273848,0.0797168124490072,7.1250604438904706,0.02400832344761171,4.212904875047236,0.03634084268834995
0.08,0.3,62.0,0.7,4.119851333937052,3.1486947686645466,6.369450515461554,0.08584901854352282,6.618802723454301,0.022302457343626,5.019061238463919,0.04329480971444129
0.08,0.3,62.0,0.8,3.8847466950280527,2.9226913311425053,6.880128099068229,0.09273205645054297,6.323418011500753,0.021307140635521252,5.849921799378668,0.05046187705531462
0.08,0.3,62.0,0.9,3.655338029604169,2.707284344820182,7.436341295501487,0.10022883453192362,6.314633959925307,0.021277542240803825,6.60716331509802,0.05699390082894328
0.08,0.3,62.0,1.0,3.620852846024691,2.645991869893839,8.029946581772467,0.1082295923845683,6.5305464918581135,0.022005072616701263,7.247355343111195,0.06251624668539979
0.08,0.3,72.0,0.1,2.483961133411416,2.1487651662119793,6.454688359540073,0.08699787514255654,5.33120180623817,0.01796380793350436,4.251669562313204,0.03667522987333945
0.08,0.3,72.0,0.2,3.7664725708606084,3.1073167851176655,6.0479195468143,0.08151534517205858,6.523254624054739,0.02198050222573556,4.0456899143362195,0.034898433528264286
0.08,0.3,72.0,0.3,4.04713604774775,3.2515009385321885,5.941273076600696,0.08007793785148291,6.603199636033266,0.02224988179391164,4.07822314777399,0.03517906771146363
0.08,0.3,72.0,0.4,4.2155390719246615,3.3312155822995315,5.917002621281844,0.07975081469326539,6.837915387813582,0.0230407707598885,4.049547558294091,0.034931709862854946
0.08,0.3,72.0,0.5,4.347283263737074,3.4047560325762825,5.939344815342167,0.08005194827261133,6.931995375496343,0.02335777898627791,4.084237690964469,0.035230949625347334
0.08,0.3,72.0,0.6,4.436350811462209,3.466255200712092,6.01806156290937,0.08111291193112134,6.742159637469177,0.022718115949541106,4.238489122233076,0.03656153437967849
0.08,0.3,72.0,0.7,4.481815098463532,3.469887916085873,6.281667945518235,0.08466586350423512,6.285691732641628,0.021180019650028237,4.773501044467555,0.041176588523785404
0.08,0.3,72.0,0.8,4.444295112268095,3.422217662430416,6.615715919066667,0.08916824414224646,5.895824117749143,0.019866337068133275,5.361507931283394,0.046248781323581574
0.08,0.3,72.0,0.9,4.337820611963503,3.313906888462307,7.039300560941543,0.09487742198840368,5.661066819237773,0.01907530810792546,5.938987387825218,0.05123016369711665
0.08,0.3,72.0,1.0,4.246620106038106,3.194633660681811,7.542745421508602,0.10166297547775846,5.617640742785617,0.0189289813086324,6.480048615512381,0.05589739961706468
0.08,0.3,82.0,0.1,2.4790983361685637,2.1431925973791035,6.542030533148381,0.08817509441186863,5.0845863465758665,0.017132822179856344,4.297631585809917,0.03707170183628961
0.08,0.3,82.0,0.2,3.7654335402034342,3.106340783004333,6.176517257740542,0.08324861670673217,6.143021317626148,0.020699283030729276,4.181026871539404,0.03606586056910999
0.08,0.3,82.0,0.3,4.050945618030739,3.254999547821501,6.113840943951478,0.08240384995461507,6.105378539779043,0.020572443406962324,4.247513244886786,0.03663937715835155
0.08,0.3,82.0,0.4,4.209248772538803,3.3253171284616445,6.118877486506774,0.082471733712276,6.272808778075815,0.021136609753001728,4.238123861203752,0.0365583836098414
0.08,0.3,82.0,0.5,4.293622526256592,3.3553643224607366,6.151694100684907,0.08291404409874895,6.366299067008393,0.021451630953675,4.269144647058805,0.03682597130343128
0.08,0.3,82.0,0.6,4.346055732060345,3.3837885507291334,6.209620008410151,0.0836947837111195,6.2247983697934774,0.020974835769472563,4.397609897893344,0.03793412247464543
0.08,0.3,82.0,0.7,4.3790674472050295,3.377175253132889,6.4151431500493015,0.08646487509574878,5.830399065126204,0.019645883383940962,4.849727385882133,0.04183412282949995
0.08,0.3,82.0,0.8,4.354784264871669,3.3432560205677317,6.649966273694963,0.08962987883466918,5.453802504927867,0.018376918426001216,5.321033464793609,0.045899645451012494
0.08,0.3,82.0,0.9,4.277400518636468,3.2631508820226793,6.947256013696332,0.09363682297219297,5.157638619897833,0.01737897624694233,5.774647296587748,0.04981255338304967
0.08,0.3,82.0,1.0,4.187691298418017,3.1459784519602145,7.331491707104944,0.09881564602583735,4.979524465457196,0.016778809797256218,6.215812985735497,0.053618082675622666
0.08,0.3,92.0,0.1,2.4933413144418197,2.1542418703584882,6.396127420697692,0.08620857642480971,5.326927513552242,0.017949405444975086,4.109549782560559,0.03544929368154829
0.08,0.3,92.0,0.2,3.744216021241856,3.08596634332127,5.991362244185106,0.08075305195533618,6.453991337318654,0.021747115378830915,3.969346847135982,0.0342398923369114
0.08,0.3,92.0,0.3,3.9706363273694953,3.182897926310393,5.896155052996111,0.07946982604722684,6.439710148852588,0.02169899404784577,4.037988257559246,0.03483199844233833
0.08,0.3,92.0,0.4,4.130894191615672,3.2573534418761887,5.891758403481161,0.07941056692513739,6.640039267241455,0.022374015166351357,3.9952206695647967,0.03446308192664106
0.08,0.3,92.0,0.5,4.231297636314678,3.3038021551490333,5.917350003748159,0.0797554967994722,6.798155376119335,0.022906796988219683,3.986937031056886,0.03439162662137506
