h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu,RMSE relative Iv,RMSE Iv,RMSE relative Iw,RMSE Iw
0.08,1.2,72.0,0.4,0.39357701122186844,0.3093128629812486,0.12116883840400228,0.02860389426424828,0.5248966158548225,0.07163970643509496,0.07534293881601464,0.013133662460192921
0.08,1.2,72.0,0.45,0.42576276139115643,0.33172322529324,0.11272487394924947,0.024432625733427863,0.4252556708891392,0.05956851924653917,0.16424026863680452,0.02663845800500352
0.08,1.2,72.0,0.5,0.4527872491533022,0.3506518386143707,0.19939804394219873,0.040028277429438715,0.35619756682666065,0.05039987147444842,0.27261995225818153,0.04447731030808438
0.08,1.2,72.0,0.55,0.47603367630182736,0.3670746548254416,0.3049903146216457,0.06106801104943901,0.3372117221638,0.0460012644892494,0.3863396917390957,0.06312911727577854
0.08,1.8,52.0,0.35,0.20518041856917957,0.17162480351964052,0.37456184257358077,0.10004726742539612,0.2614033680304678,0.03466866060684795,0.402537666626968,0.07859336390103797
0.08,1.8,52.0,0.4,0.24381597271333386,0.19913320368794415,0.4487043271145749,0.1113482520680622,0.2249209611844484,0.02860628551394994,0.5023291005231512,0.09357288266038095
0.08,1.8,52.0,0.45,0.2703776554890847,0.21686493012667063,0.546203213935173,0.12735911606060454,0.2656496033538266,0.031394860034940145,0.6096967136448289,0.10997649324941357
0.08,1.8,52.0,0.5,0.2841147619670024,0.22461017959860938,0.6488254628743492,0.14543775014030288,0.3550751832331231,0.040983105478019276,0.7172492480218892,0.12670340963952118
0.08,1.8,52.0,0.55,0.2836705765634762,0.22126755405514412,0.7549368871078006,0.16499428549973794,0.47283840732714,0.054580997588585166,0.8282451611366545,0.14402591748060786
0.08,1.8,57.0,0.35,0.20086896230626441,0.1684165187401302,0.31562072020952264,0.08684900013601304,0.38422963100570734,0.05011283878785962,0.33522413573492243,0.06747821424585025
0.08,1.8,57.0,0.4,0.2415544572001919,0.1976991149711901,0.36983858039651385,0.09496634404594811,0.2973211776504231,0.03925587674274848,0.4249583554855148,0.08115151102851967
0.08,1.8,57.0,0.45,0.27228677699329834,0.21887395192396067,0.4543000818448328,0.1085130683140333,0.2610114773674786,0.03338474240237289,0.5231011787374629,0.09620879401703611
