x,z,y,u,w,v,uu,ww,vv,vw,uv,uw,Iu,Iv,Iw,Iuv
-18.0,0.0,18.6,18.315839,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11685183914220088,0.05842591319359488,0.0934814713137607,0.05099832361561325
-18.0,0.0,18.7,18.32805,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11677398700802591,0.058386987130756386,0.09341918960642072,0.05096434615867319
-18.0,0.0,18.8,18.340197,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11669664576571612,0.05834831651382259,0.09335731661257288,0.050930591673223044
-18.0,0.0,18.9,18.352279,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1166198199462012,0.058309903608258114,0.09329585595696095,0.050897062136722654
-18.0,0.0,19.0,18.364298,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11654349502401068,0.05827174115132849,0.09323479601920853,0.05086375120973697
-18.0,0.0,19.1,18.376254,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11646766923130522,0.05823382825911416,0.09317413538504417,0.05083065812071766
-18.0,0.0,19.2,18.388147,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11639234081511582,0.058196164055130714,0.09311387265209264,0.050797782104606316
-18.0,0.0,19.3,18.399978,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1163175017156243,0.0581587445094695,0.09305400137249943,0.05076511964380991
-18.0,0.0,19.4,18.411748,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11624314391998247,0.05812156561570687,0.09299451513598597,0.0507326672412348
-18.0,0.0,19.5,18.423458,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11616925946163036,0.05808462339056325,0.09293540756930427,0.050700421419989136
-18.0,0.0,19.6,18.435108,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11609584671716865,0.05804791702233909,0.09287667737373491,0.050668381471563405
