x,z,y,u,w,v,uu,ww,vv,vw,uv,uw
-18.000000,0.000000,2.300000,15.233772,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,2.400000,15.303106,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,2.500000,15.369610,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,2.600000,15.433505,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,2.700000,15.494989,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,2.800000,15.554236,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,2.900000,15.611405,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.000000,15.666635,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.100000,15.720054,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.200000,15.771777,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.300000,15.821909,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.400000,15.870544,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.500000,15.917769,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.600000,15.963664,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.700000,16.008301,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.800000,16.051748,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,3.900000,16.094066,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.000000,16.135313,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.100000,16.175541,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.200000,16.214800,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.300000,16.253135,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.400000,16.290589,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.500000,16.327202,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.600000,16.363009,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.700000,16.398046,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.800000,16.432346,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,4.900000,16.465939,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.000000,16.498853,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.100000,16.531115,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.200000,16.562750,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.300000,16.593783,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.400000,16.624236,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.500000,16.654131,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.600000,16.683486,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.700000,16.712322,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.800000,16.740657,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,5.900000,16.768507,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.000000,16.795889,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.100000,16.822818,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.200000,16.849310,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.300000,16.875377,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.400000,16.901035,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.500000,16.926294,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.600000,16.951168,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.700000,16.975667,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.800000,16.999804,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,6.900000,17.023588,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.000000,17.047031,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.100000,17.070140,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.200000,17.092927,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.300000,17.115399,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.400000,17.137565,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.500000,17.159434,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.600000,17.181013,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.700000,17.202310,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.800000,17.223332,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,7.900000,17.244087,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.000000,17.264580,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.100000,17.284819,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.200000,17.304810,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.300000,17.324558,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.400000,17.344070,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.500000,17.363351,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.600000,17.382406,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.700000,17.401241,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.800000,17.419861,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,8.900000,17.438270,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,9.000000,17.456474,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,9.100000,17.474476,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,9.200000,17.492282,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,9.300000,17.509895,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,9.400000,17.527320,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,9.500000,17.544561,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
