x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	vw-reynolds-stress	uw-reynolds-stress	uv-reynolds-stress	pseudo_Iu	pseudo_Iv	pseudo_Iw	pseudo_Iuv	x-velocity-magnitude	h	r
1.2	0.549692	0.0	12.7478	0.0	0.0	2.1775724356	0.989438037025	1.2863642724	0.0	0.0	0.622778	0.1157580131473666	0.0780295423524059	0.08897064591537363	0.061905807086684465	12.8404	0.06	67
1.2	0.544757	0.0	12.6951	0.0	0.0	2.2093552321000005	1.0087189225000002	1.31171209	0.0	0.0	0.633136	0.11708375672503565	0.07911320115635168	0.09021591007554096	0.06267760280253121	12.7886	0.06	67
1.2	0.539822	0.0	12.6536	0.0	0.0	2.2381656025000005	1.0251360000999998	1.3351571400999998	0.0	0.0	0.639706	0.11823117531769615	0.08001596383637856	0.0913170955301258	0.06320859114343842	12.7492	0.06	67
1.2	0.534887	0.0	12.6108	0.0	0.0	2.2665001401	1.0411957520999997	1.3599757924	0.0	0.0	0.646628	0.11938100675611381	0.08091397849462366	0.09247470422177816	0.06376533050941205	12.7089	0.06	67
1.2	0.529952	0.0	12.5598	0.0	0.0	2.2878075025	1.0566195263999998	1.3797086521	0.0	0.0	0.65795	0.12042787305530345	0.08184206754884632	0.09352139365276517	0.06458233183943086	12.661	0.06	67
1.2	0.525017	0.0	12.5091	0.0	0.0	2.3082421041	1.0711215025	1.3987792900000002	0.0	0.0	0.669169	0.12145478091949061	0.08273576836063345	0.09454716966048717	0.06539459318816095	12.6118	0.06	67
1.2	0.520082	0.0	12.4664	0.0	0.0	2.3321260369	1.0839933225	1.4219370025	0.0	0.0	0.675222	0.12249967913752166	0.08351649233138676	0.0956531155746647	0.0659146930989274	12.5704	0.06	67
1.2	0.515147	0.0	12.4262	0.0	0.0	2.3581902096	1.0967325625	1.4463189169	0.0	0.0	0.680061	0.12358082116817692	0.08427757480162881	0.0967817997456986	0.06636446467760913	12.532	0.06	67
1.2	0.510212	0.0	12.3783	0.0	0.0	2.3838742403999995	1.1100940321	1.4696227984	0.0	0.0	0.688119	0.12473279852645355	0.08511750401913025	0.09793590396096395	0.06701480693239956	12.4854	0.06	67
1.2	0.505277	0.0	12.3078	0.0	0.0	2.4126787584	1.1247875135999998	1.48864401	0.0	0.0	0.703738	0.1262028957246624	0.08616974601472237	0.09913225759274606	0.06815929203498396	12.4188	0.06	67
