x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	uv-reynolds-stress	uw-reynolds-stress	vw-reynolds-stress	x-velocity-magnitude	h	r
0.3	2.43002	0	15.2302	0	0	0.018426433536	0.015152379025	0.014178379328999999	0.000519634	0	0	15.235	0.08	62
0.3	2.42508	0	15.2302	0	0	0.018348869764	0.015230274921000002	0.0141729025	0.000519634	0	0	15.236	0.08	62
0.3	2.42015	0	15.2302	0	0	0.018240663364000004	0.015297731856	0.014167426728999998	0.000519634	0	0	15.2373	0.08	62
0.3	2.41521	0	15.2302	0	0	0.018063628800999997	0.015443778528999998	0.014167426728999998	0.000519634	0	0	15.2401	0.08	62
0.3	2.41028	0	15.2302	0	0	0.017883445440999995	0.015541362224999999	0.014167426728999998	0.000519634	0	0	15.2455	0.08	62
0.3	2.40534	0	15.2302	0	0	0.017734781584000003	0.015609753720999998	0.014167426728999998	0.000519634	0	0	15.2455	0.08	62
0.3	2.40041	0	15.2302	0	0	0.017674107136	0.0156800484	0.014181237224999999	0.000519634	0	0	15.2455	0.08	62
0.3	2.39547	0	15.2302	0	0	0.017586738225000002	0.015778625769	0.014192195161000001	0.000519634	0	0	15.2455	0.08	62
0.3	2.39054	0	15.2302	0	0	0.017510964241	0.015888098304	0.014192195161000001	0.000519634	0	0	15.2446	0.08	62
0.3	2.3856	0	15.2319	0	0	0.017375194224999998	0.015969882384000003	0.014203157329000002	0.000519634	0	0	15.2439	0.08	62
0.3	2.38067	0	15.2348	0	0	0.017329879449000003	0.016013130848999996	0.014203157329000002	0.000519634	0	0	15.2443	0.08	62
0.3	2.37573	0	15.2389	0	0	0.017262280996	0.016095235689000002	0.014216985225	0.000519634	0	0	15.2445	0.08	62
0.3	2.3708	0	15.2438	0	0	0.017176199364000003	0.016208090721	0.014269258116000001	0.000519634	0	0	15.2447	0.08	62
0.3	2.36586	0	15.249	0	0	0.017045391364	0.016375809023999998	0.014327132416	0.000519634	0	0	15.2449	0.08	62
0.3	2.36093	0	15.2499	0	0	0.016978350601	0.016557770329000004	0.014360427225	0.000519634	0	0	15.2451	0.08	62
0.3	2.35599	0	15.2465	0	0	0.016896360195999997	0.016647966729	0.014404560361000001	0.000519634	0	0	15.245	0.08	62
0.3	2.35106	0	15.242	0	0	0.016822349401000004	0.016747206921	0.014421367921000001	0.000519634	0	0	15.2447	0.08	62
0.3	2.34612	0	15.238	0	0	0.016737114383999996	0.016864398769000002	0.014451886656000001	0.000519634	0	0	15.2446	0.08	62
0.3	2.34119	0	15.2358	0	0	0.016652095848999997	0.017006507280999998	0.014451886656000001	0.000519634	0	0	15.2443	0.08	62
0.3	2.33625	0	15.2316	0	0	0.016534359396000002	0.017097916080999996	0.014457417121	0.000519634	0	0	15.2439	0.08	62
0.3	2.33132	0	15.2307	0	0	0.016453705984	0.017156022360999997	0.014457417121	0.000519634	0	0	15.2444	0.08	62
0.3	2.32638	0	15.2302	0	0	0.016358410000000004	0.017194027876	0.014468481225000001	0.000519634	0	0	15.2451	0.08	62
0.3	2.32145	0	15.2302	0	0	0.016329261796000003	0.017243366595999995	0.014479549560999998	0.000519634	0	0	15.2453	0.08	62
0.3	2.31651	0	15.2302	0	0	0.01628176	0.017367022656000004	0.014479549560999998	0.000519634	0	0	15.2454	0.08	62
0.3	2.31158	0	15.2302	0	0	0.016223626384000003	0.017454637456000004	0.014490622129	0.000519634	0	0	15.2454	0.08	62
0.3	2.30664	0	15.2302	0	0	0.016085595241	0.017540618481	0.014501698929	0.000519634	0	0	15.2455	0.08	62
0.3	2.30171	0	15.2302	0	0	0.016006045224999998	0.017637964864000003	0.014507238916	0.000519634	0	0	15.2455	0.08	62
0.3	2.29677	0	15.2302	0	0	0.015944617983999997	0.017744637681	0.014512779961000002	0.000519634	0	0	15.2455	0.08	62
0.3	2.29184	0	15.2302	0	0	0.015883308841	0.017913145599999996	0.014512779961000002	0.000519634	0	0	15.2455	0.08	62
0.3	2.2869	0	15.2302	0	0	0.015829414225	0.018087291121	0.014518322064	0.000519634	0	0	15.2455	0.08	62
0.3	2.28197	0	15.2302	0	0	0.015746736195999998	0.018140049225	0.014524106256	0.000519634	0	0	15.2455	0.08	62
0.3	2.27703	0	15.2303	0	0	0.015678796225	0.018195312100000003	0.014532302500000002	0.000519634	0	0	15.2455	0.08	62
0.3	2.2721	0	15.2306	0	0	0.015603757224999999	0.018255252544000004	0.014548943161000001	0.000519634	0	0	15.2455	0.08	62
0.3	2.26716	0	15.2324	0	0	0.015546598596000001	0.018343180969	0.014548943161000001	0.000519634	0	0	15.2455	0.08	62
0.3	2.26223	0	15.2351	0	0	0.015482576041	0.018477508623999998	0.014557387715999999	0.000519634	0	0	15.2455	0.08	62
0.3	2.25729	0	15.2386	0	0	0.015404533225000001	0.018544720041	0.01456849	0.000519634	0	0	15.2455	0.08	62
0.3	2.25236	0	15.244	0	0	0.015330154224999998	0.018595958688999995	0.0146047225	0.000519634	0	0	15.2455	0.08	62
0.3	2.24742	0	15.249	0	0	0.015241630849	0.0186377104	0.014638338121	0.000519634	0	0	15.2455	0.08	62
0.3	2.24249	0	15.2513	0	0	0.015202890000000002	0.018731207044000005	0.014641	0.000519634	0	0	15.2461	0.08	62
0.3	2.23755	0	15.2524	0	0	0.015174790596000002	0.018803539876	0.014646566529000002	0.000519634	0	0	15.2481	0.08	62
0.3	2.23262	0	15.2517	0	0	0.015132690225	0.018869143224999996	0.014682895929000002	0.000519634	0	0	15.25	0.08	62
0.3	2.22768	0	15.2515	0	0	0.015100968995999999	0.018967900176000002	0.014682895929000002	0.000519634	0	0	15.25	0.08	62
0.3	2.22275	0	15.2509	0	0	0.015072963984000001	0.019026615969000002	0.014691379264	0.000519634	0	0	15.2498	0.08	62
0.3	2.21781	0	15.2504	0	0	0.015023895184	0.019125783616	0.014696955361000002	0.000519634	0	0	15.2494	0.08	62
0.3	2.21288	0	15.2497	0	0	0.014971235448999998	0.019201367761	0.014708110729	0.000519634	0	0	15.2492	0.08	62
0.3	2.20794	0	15.249	0	0	0.014929418596000001	0.019322112015999995	0.014719270329	0.000519634	0	0	15.2487	0.08	62
0.3	2.20301	0	15.2479	0	0	0.014887416196	0.019414799568999996	0.014719270329	0.000519634	0	0	15.2478	0.08	62
0.3	2.19807	0	15.2505	0	0	0.014852784384	0.019543480804	0.0147501025	0.000519634	0	0	15.2489	0.08	62
0.3	2.19314	0	15.2535	0	0	0.014831829796000002	0.019696438336	0.014761278016000001	0.000519634	0	0	15.2503	0.08	62
0.3	2.1882	0	15.2583	0	0	0.014814297796	0.019809155025000004	0.014806265761	0.000519634	0	0	15.2523	0.08	62
0.3	2.18327	0	15.2637	0	0	0.014797019449	0.019879026049000003	0.014839868761	0.000519634	0	0	15.2542	0.08	62
0.3	2.17833	0	15.2752	0	0	0.014779751184	0.019932074761	0.014851078225	0.000519634	0	0	15.2551	0.08	62
0.3	2.1734	0	15.2802	0	0	0.01478656	0.019999333560999998	0.014842792560999999	0.000519634	0	0	15.2547	0.08	62
0.3	2.16846	0	15.2807	0	0	0.014789964996	0.020050276801	0.014839868761	0.000519634	0	0	15.2549	0.08	62
0.3	2.16353	0	15.2807	0	0	0.014824767049000001	0.020096181121	0.014831586225	0.000519634	0	0	15.2629	0.08	62
0.3	2.15859	0	15.2805	0	0	0.014828419984000002	0.020171100625000004	0.014831586225	0.000519634	0	0	15.2677	0.08	62
0.3	2.15366	0	15.2803	0	0	0.014849128448999998	0.020256120976000002	0.014839868761	0.000519634	0	0	15.2685	0.08	62
0.3	2.14872	0	15.2805	0	0	0.014859609999999999	0.0203461696	0.014839868761	0.000519634	0	0	15.2695	0.08	62
